"","Line","Trial","Survival","Experiment"
"1","VIR00157","CR15",0,"VIR"
"2","VIR00157","SP15",60,"VIR"
"3","VIR00157","CR16",0,"VIR"
"4","VIR00157","SP16",0,"VIR"
"5","VIR00157","AB16",20,"VIR"
"6","VIR00157","AL16",50,"VIR"
"7","VIR00157","BZ16",100,"VIR"
"8","VIR00157","IT16",60,"VIR"
"9","VIR00157","ME16",50,"VIR"
"10","VIR00157","RM19",80,"VIR"
"11","VIR00733","CR15",0,"VIR"
"12","VIR00733","SP15",60,"VIR"
"13","VIR00733","CR16",0,"VIR"
"14","VIR00733","SP16",0,"VIR"
"15","VIR00733","AB16",100,"VIR"
"16","VIR00733","AL16",80,"VIR"
"17","VIR00733","BZ16",100,"VIR"
"18","VIR00733","IT16",70,"VIR"
"19","VIR00733","ME16",30,"VIR"
"20","VIR00733","RM19",100,"VIR"
"21","VIR01028","CR15",0,"VIR"
"22","VIR01028","SP15",60,"VIR"
"23","VIR01028","CR16",0,"VIR"
"24","VIR01028","SP16",0,"VIR"
"25","VIR01028","AB16",90,"VIR"
"26","VIR01028","AL16",60,"VIR"
"27","VIR01028","BZ16",100,"VIR"
"28","VIR01028","IT16",45,"VIR"
"29","VIR01028","ME16",30,"VIR"
"30","VIR01028","RM19",90,"VIR"
"31","VIR04481","CR15",0,"VIR"
"32","VIR04481","SP15",60,"VIR"
"33","VIR04481","CR16",0,"VIR"
"34","VIR04481","SP16",0,"VIR"
"35","VIR04481","AB16",100,"VIR"
"36","VIR04481","AL16",20,"VIR"
"37","VIR04481","BZ16",100,"VIR"
"38","VIR04481","IT16",80,"VIR"
"39","VIR04481","ME16",40,"VIR"
"40","VIR04481","RM19",90,"VIR"
"41","VIR04482","CR15",0,"VIR"
"42","VIR04482","SP15",70,"VIR"
"43","VIR04482","CR16",0,"VIR"
"44","VIR04482","SP16",0,"VIR"
"45","VIR04482","AB16",50,"VIR"
"46","VIR04482","AL16",60,"VIR"
"47","VIR04482","BZ16",100,"VIR"
"48","VIR04482","IT16",80,"VIR"
"49","VIR04482","ME16",50,"VIR"
"50","VIR04482","RM19",80,"VIR"
"51","VIR06358","CR15",0,"VIR"
"52","VIR06358","SP15",60,"VIR"
"53","VIR06358","CR16",0,"VIR"
"54","VIR06358","SP16",0,"VIR"
"55","VIR06358","AB16",60,"VIR"
"56","VIR06358","AL16",70,"VIR"
"57","VIR06358","BZ16",100,"VIR"
"58","VIR06358","IT16",98,"VIR"
"59","VIR06358","ME16",70,"VIR"
"60","VIR06358","RM19",100,"VIR"
"61","VIR07627","CR15",0,"VIR"
"62","VIR07627","SP15",60,"VIR"
"63","VIR07627","CR16",0,"VIR"
"64","VIR07627","SP16",0,"VIR"
"65","VIR07627","AB16",60,"VIR"
"66","VIR07627","AL16",70,"VIR"
"67","VIR07627","BZ16",100,"VIR"
"68","VIR07627","IT16",40,"VIR"
"69","VIR07627","ME16",60,"VIR"
"70","VIR07627","RM19",80,"VIR"
"71","VIR10420","CR15",0,"VIR"
"72","VIR10420","SP15",60,"VIR"
"73","VIR10420","CR16",0,"VIR"
"74","VIR10420","SP16",0,"VIR"
"75","VIR10420","AB16",70,"VIR"
"76","VIR10420","AL16",20,"VIR"
"77","VIR10420","BZ16",100,"VIR"
"78","VIR10420","IT16",100,"VIR"
"79","VIR10420","ME16",60,"VIR"
"80","VIR10420","RM19",100,"VIR"
"81","VIR10426","CR15",0,"VIR"
"82","VIR10426","SP15",60,"VIR"
"83","VIR10426","CR16",0,"VIR"
"84","VIR10426","SP16",0,"VIR"
"85","VIR10426","AB16",70,"VIR"
"86","VIR10426","AL16",25,"VIR"
"87","VIR10426","BZ16",100,"VIR"
"88","VIR10426","IT16",98,"VIR"
"89","VIR10426","ME16",10,"VIR"
"90","VIR10426","RM19",100,"VIR"
"91","VIR10427","CR15",0,"VIR"
"92","VIR10427","SP15",60,"VIR"
"93","VIR10427","CR16",0,"VIR"
"94","VIR10427","SP16",0,"VIR"
"95","VIR10427","AB16",40,"VIR"
"96","VIR10427","AL16",70,"VIR"
"97","VIR10427","BZ16",100,"VIR"
"98","VIR10427","IT16",95,"VIR"
"99","VIR10427","ME16",30,"VIR"
"100","VIR10427","RM19",80,"VIR"
"101","VIR10849","CR15",0,"VIR"
"102","VIR10849","SP15",60,"VIR"
"103","VIR10849","CR16",0,"VIR"
"104","VIR10849","SP16",0,"VIR"
"105","VIR10849","AB16",50,"VIR"
"106","VIR10849","AL16",60,"VIR"
"107","VIR10849","BZ16",100,"VIR"
"108","VIR10849","IT16",30,"VIR"
